geocod,regiao,nivel
1D11006,Caldas da Rainha,Concelho
1D11108,Lourinhã,Concelho
1D11011,Nazaré,Concelho
1D11012,Óbidos,Concelho
1D11014,Peniche,Concelho
1D11112,Sobral de Monte Agraço,Concelho
1D11113,Torres Vedras,Concelho
1D2,Médio Tejo,NUTS III
1D21401,Abrantes,Concelho
1D21402,Alcanena,Concelho
1D21408,Constância,Concelho
1D21410,Entroncamento,Concelho
1D21411,Ferreira do Zêzere,Concelho
1D21413,Mação,Concelho
1D21421,Ourém,Concelho
1D21417,Sardoal,Concelho
1D21418,Tomar,Concelho
1D21419,Torres Novas,Concelho
1D21420,Vila Nova da Barquinha,Concelho
1D3,Lezíria do Tejo,NUTS III
1D31403,Almeirim,Concelho
1D31404,Alpiarça,Concelho
1D31103,Azambuja,Concelho
1D31405,Benavente,Concelho
1D31406,Cartaxo,Concelho
1D31407,Chamusca,Concelho
1D31409,Coruche,Concelho
1D31412,Golegã,Concelho
1D31414,Rio Maior,Concelho
1D31415,Salvaterra de Magos,Concelho
1D31416,Santarém,Concelho
1A,Grande Lisboa,NUTS II
1A0,Grande Lisboa,NUTS III
1A01115,Amadora,Concelho
1A01105,Cascais,Concelho
1A01106,Lisboa,Concelho
1A01107,Loures,Concelho
1A01109,Mafra,Concelho
1A01116,Odivelas,Concelho
1A01110,Oeiras,Concelho
1A01111,Sintra,Concelho
1A01114,Vila Franca de Xira,Concelho
1B,Península de Setúbal,NUTS II
1B0,Península de Setúbal,NUTS III
1B01502,Alcochete,Concelho
1B01503,Almada,Concelho
1B01504,Barreiro,Concelho
1B01506,Moita,Concelho
1B01507,Montijo,Concelho
1B01508,Palmela,Concelho
1B01510,Seixal,Concelho
1B01511,Sesimbra,Concelho
1B01512,Setúbal,Concelho
1C,Alentejo,NUTS II
1C1,Alentejo Litoral,NUTS III
1C11501,Alcácer do Sal,Concelho
1C11505,Grândola,Concelho
1C10211,Odemira,Concelho
1C11509,Santiago do Cacém,Concelho
1C11513,Sines,Concelho
1C2,Baixo Alentejo,NUTS III
1C20201,Aljustrel,Concelho
1C20202,Almodôvar,Concelho
1C20203,Alvito,Concelho
1C20204,Barrancos,Concelho
1C20205,Beja,Concelho
1C20206,Castro Verde,Concelho
1C20207,Cuba,Concelho
1C20208,Ferreira do Alentejo,Concelho
1C20209,Mértola,Concelho
1C20210,Moura,Concelho
1C20212,Ourique,Concelho
1C20213,Serpa,Concelho
1C20214,Vidigueira,Concelho
1C3,Alto Alentejo,NUTS III
1C31201,Alter do Chão,Concelho
1C31202,Arronches,Concelho
1C31203,Avis,Concelho
1C31204,Campo Maior,Concelho
1C31205,Castelo de Vide,Concelho
1C31206,Crato,Concelho
1C31207,Elvas,Concelho
1C31208,Fronteira,Concelho
1C31209,Gavião,Concelho
1C31210,Marvão,Concelho
1C31211,Monforte,Concelho
1C31212,Nisa,Concelho
1C31213,Ponte de Sor,Concelho
1C31214,Portalegre,Concelho
1C31215,Sousel,Concelho
1C4,Alentejo Central,NUTS III
1C40701,Alandroal,Concelho
1C40702,Arraiolos,Concelho
1C40703,Borba,Concelho
1C40704,Estremoz,Concelho
1C40705,Évora,Concelho
1C40706,Montemor-o-Novo,Concelho
1C40707,Mora,Concelho
1C40708,Mourão,Concelho
1C40709,Portel,Concelho
1C40710,Redondo,Concelho
1C40711,Reguengos de Monsaraz,Concelho
1C40712,Vendas Novas,Concelho
1C40713,Viana do Alentejo,Concelho
1C40714,Vila Viçosa,Concelho
15,Algarve,NUTS II
150,Algarve,NUTS III
1500801,Albufeira,Concelho
1500802,Alcoutim,Concelho
1500803,Aljezur,Concelho
1500804,Castro Marim,Concelho
1500805,Faro,Concelho
1500806,Lagoa,Concelho
1500807,Lagos,Concelho
1500808,Loulé,Concelho
1500809,Monchique,Concelho
1500810,Olhão,Concelho
1500811,Portimão,Concelho
1500812,São Brás de Alportel,Concelho
1500813,Silves,Concelho
1500814,Tavira,Concelho
1500815,Vila do Bispo,Concelho
1500816,Vila Real de Santo António,Concelho
2,Região Autónoma dos Açores,NUTS I
20,Região Autónoma dos Açores,NUTS II
200,Região Autónoma dos Açores,NUTS III
2004301,Angra do Heroísmo,Concelho
2004501,Calheta (R.A.A.),Concelho
2004901,Corvo,Concelho
2004701,Horta,Concelho
2004201,Lagoa (R.A.A.),Concelho
2004801,Lajes das Flores,Concelho
2004601,Lajes do Pico,Concelho
2004602,Madalena,Concelho
2004202,Nordeste,Concelho
2004203,Ponta Delgada,Concelho
2004204,Povoação,Concelho
2004205,Ribeira Grande,Concelho
2004401,Santa Cruz da Graciosa,Concelho
2004802,Santa Cruz das Flores,Concelho
2004603,São Roque do Pico,Concelho
2004502,Velas,Concelho
2004302,Vila da Praia da Vitória,Concelho
2004101,Vila do Porto,Concelho
2004206,Vila Franca do Campo,Concelho
3,Região Autónoma da Madeira,NUTS I
30,Região Autónoma da Madeira,NUTS II
300,Região Autónoma da Madeira,NUTS III
3003101,Calheta (R.A.M.),Concelho
3003102,Câmara de Lobos,Concelho
3003103,Funchal,Concelho
3003104,Machico,Concelho
3003105,Ponta do Sol,Concelho
3003106,Porto Moniz,Concelho
3003107,Ribeira Brava,Concelho
3003108,Santa Cruz,Concelho
3003109,Santana,Concelho
3003110,São Vicente,Concelho
3003201,Porto Santo,Concelho
