ano,geocod,regiao,nivel,quartil,preco_m2
2022,3003102,Câmara de Lobos,Concelho,1.º quartil,959.0
2022,3003103,Funchal,Concelho,1.º quartil,1486.0
2022,3003104,Machico,Concelho,1.º quartil,810.0
2022,3003105,Ponta do Sol,Concelho,1.º quartil,629.0
2022,3003106,Porto Moniz,Concelho,1.º quartil,425.0
2022,3003107,Ribeira Brava,Concelho,1.º quartil,656.0
2022,3003108,Santa Cruz,Concelho,1.º quartil,1086.0
2022,3003109,Santana,Concelho,1.º quartil,582.0
2022,3003110,São Vicente,Concelho,1.º quartil,640.0
2022,3003201,Porto Santo,Concelho,1.º quartil,1067.0
2022,PT,Portugal,Nacional,1.º quartil,906.0
2022,1111601,Arcos de Valdevez,Concelho,1.º quartil,400.0
2022,1,Continente,NUTS I,1.º quartil,909.0
2022,11,Norte,NUTS II,1.º quartil,859.0
2022,111,Alto Minho,NUTS III,1.º quartil,651.0
2022,1111602,Caminha,Concelho,1.º quartil,765.0
2022,1111603,Melgaço,Concelho,1.º quartil,229.0
2022,1111604,Monção,Concelho,1.º quartil,536.0
2022,1111605,Paredes de Coura,Concelho,1.º quartil,372.0
2022,1111610,Vila Nova de Cerveira,Concelho,1.º quartil,571.0
2022,112,Cávado,NUTS III,1.º quartil,909.0
2022,1120301,Amares,Concelho,1.º quartil,661.0
2022,1120302,Barcelos,Concelho,1.º quartil,839.0
2022,1120303,Braga,Concelho,1.º quartil,1022.0
2022,1120306,Esposende,Concelho,1.º quartil,1035.0
2022,1120310,Terras de Bouro,Concelho,1.º quartil,416.0
2022,1120313,Vila Verde,Concelho,1.º quartil,695.0
2022,119,Ave,NUTS III,1.º quartil,728.0
2022,1190304,Cabeceiras de Basto,Concelho,1.º quartil,384.0
2022,1190307,Fafe,Concelho,1.º quartil,572.0
2022,1111606,Ponte da Barca,Concelho,1.º quartil,472.0
2022,1920611,Oliveira do Hospital,Concelho,1.º quartil,320.0
2022,1920612,Pampilhosa da Serra,Concelho,1.º quartil,143.0
2022,1920613,Penacova,Concelho,1.º quartil,363.0
2022,1920614,Penela,Concelho,1.º quartil,316.0
2022,1920615,Soure,Concelho,1.º quartil,377.0
2022,1920616,Tábua,Concelho,1.º quartil,281.0
2022,1920617,Vila Nova de Poiares,Concelho,1.º quartil,438.0
2022,1921808,Mortágua,Concelho,1.º quartil,397.0
2022,193,Região de Leiria,NUTS III,1.º quartil,644.0
2022,1931002,Alvaiázere,Concelho,1.º quartil,218.0
2022,1931003,Ansião,Concelho,1.º quartil,246.0
2022,1931004,Batalha,Concelho,1.º quartil,516.0
2022,1931010,Marinha Grande,Concelho,1.º quartil,771.0
2022,1931007,Castanheira de Pêra,Concelho,1.º quartil,277.0
2022,1931008,Figueiró dos Vinhos,Concelho,1.º quartil,297.0
2022,1931009,Leiria,Concelho,1.º quartil,927.0
2022,1931013,Pedrógão Grande,Concelho,1.º quartil,211.0
2022,1931015,Pombal,Concelho,1.º quartil,450.0
2022,1931016,Porto de Mós,Concelho,1.º quartil,483.0
2022,194,Viseu Dão Lafões,NUTS III,1.º quartil,395.0
2022,1940901,Aguiar da Beira,Concelho,1.º quartil,140.0
2022,1941802,Carregal do Sal,Concelho,1.º quartil,292.0
2022,1941803,Castro Daire,Concelho,1.º quartil,223.0
2022,1941806,Mangualde,Concelho,1.º quartil,242.0
2022,1941809,Nelas,Concelho,1.º quartil,294.0
2022,1941810,Oliveira de Frades,Concelho,1.º quartil,314.0
2022,1941811,Penalva do Castelo,Concelho,1.º quartil,178.0
2022,1941814,Santa Comba Dão,Concelho,1.º quartil,331.0
2022,1A01115,Amadora,Concelho,1.º quartil,1686.0
2022,1A01116,Odivelas,Concelho,1.º quartil,1939.0
2022,1B,Península de Setúbal,NUTS II,1.º quartil,1364.0
2022,1B0,Península de Setúbal,NUTS III,1.º quartil,1364.0
2022,1B01502,Alcochete,Concelho,1.º quartil,1424.0
2022,1B01503,Almada,Concelho,1.º quartil,1753.0
2022,1B01504,Barreiro,Concelho,1.º quartil,1244.0
2022,1B01506,Moita,Concelho,1.º quartil,985.0
2022,1B01507,Montijo,Concelho,1.º quartil,1364.0
2022,1B01508,Palmela,Concelho,1.º quartil,1287.0
2022,1B01510,Seixal,Concelho,1.º quartil,1480.0
2022,1B01511,Sesimbra,Concelho,1.º quartil,1571.0
2022,1B01512,Setúbal,Concelho,1.º quartil,1300.0
2022,1C40710,Redondo,Concelho,1.º quartil,340.0
2022,1C40711,Reguengos de Monsaraz,Concelho,1.º quartil,519.0
2022,1C40712,Vendas Novas,Concelho,1.º quartil,791.0
2022,1C40713,Viana do Alentejo,Concelho,1.º quartil,416.0
2022,1C40714,Vila Viçosa,Concelho,1.º quartil,364.0
2022,1D,Oeste e Vale do Tejo,NUTS II,1.º quartil,621.0
2022,1D1,Oeste,NUTS III,1.º quartil,826.0
2022,1D11001,Alcobaça,Concelho,1.º quartil,656.0
2022,1D11005,Bombarral,Concelho,1.º quartil,524.0
2022,1D11006,Caldas da Rainha,Concelho,1.º quartil,988.0
2022,1D11011,Nazaré,Concelho,1.º quartil,1362.0
2022,1D11012,Óbidos,Concelho,1.º quartil,1088.0
2022,1D11014,Peniche,Concelho,1.º quartil,1072.0
2022,1D11101,Alenquer,Concelho,1.º quartil,681.0
2022,1C31212,Nisa,Concelho,1.º quartil,150.0
2022,1C31213,Ponte de Sor,Concelho,1.º quartil,435.0
2022,1C31214,Portalegre,Concelho,1.º quartil,354.0
2022,1C40702,Arraiolos,Concelho,1.º quartil,477.0
2022,1C31215,Sousel,Concelho,1.º quartil,203.0
2022,1C4,Alentejo Central,NUTS III,1.º quartil,511.0
2022,1C40701,Alandroal,Concelho,1.º quartil,371.0
2022,1C40703,Borba,Concelho,1.º quartil,340.0
2022,1C40704,Estremoz,Concelho,1.º quartil,363.0
2022,1C40705,Évora,Concelho,1.º quartil,1191.0
2022,1C40706,Montemor-o-Novo,Concelho,1.º quartil,580.0
2022,1C40707,Mora,Concelho,1.º quartil,303.0
2022,1C11509,Santiago do Cacém,Concelho,1.º quartil,912.0
2022,1C11513,Sines,Concelho,1.º quartil,1325.0
2022,1C2,Baixo Alentejo,NUTS III,1.º quartil,352.0
2022,1C20201,Aljustrel,Concelho,1.º quartil,353.0
2022,1C20202,Almodôvar,Concelho,1.º quartil,266.0
2022,1C20203,Alvito,Concelho,1.º quartil,346.0
2022,1C20204,Barrancos,Concelho,1.º quartil,
2022,1C20205,Beja,Concelho,1.º quartil,509.0
2022,1C20206,Castro Verde,Concelho,1.º quartil,346.0
2022,1C20207,Cuba,Concelho,1.º quartil,244.0
2022,1C20208,Ferreira do Alentejo,Concelho,1.º quartil,301.0
2022,1C20209,Mértola,Concelho,1.º quartil,146.0
2022,1C20210,Moura,Concelho,1.º quartil,365.0
2022,1C20212,Ourique,Concelho,1.º quartil,242.0
2022,1C20213,Serpa,Concelho,1.º quartil,375.0
2022,1C20214,Vidigueira,Concelho,1.º quartil,290.0
2022,1C3,Alto Alentejo,NUTS III,1.º quartil,255.0
2022,1C31201,Alter do Chão,Concelho,1.º quartil,192.0
2022,1C31202,Arronches,Concelho,1.º quartil,170.0
