geocod,regiao,con_code
1C11501,Alcácer do Sal,1501
1C11505,Grândola,1505
1C10211,Odemira,0211
1C11509,Santiago do Cacém,1509
1C11513,Sines,1513
1C20201,Aljustrel,0201
1C20202,Almodôvar,0202
1C20203,Alvito,0203
1C20204,Barrancos,0204
1C20205,Beja,0205
1C20206,Castro Verde,0206
1C20207,Cuba,0207
1C20208,Ferreira do Alentejo,0208
1C20209,Mértola,0209
1C20210,Moura,0210
1C20212,Ourique,0212
1C20213,Serpa,0213
1C20214,Vidigueira,0214
1C31201,Alter do Chão,1201
1C31202,Arronches,1202
1C31203,Avis,1203
1C31204,Campo Maior,1204
1C31205,Castelo de Vide,1205
1C31206,Crato,1206
1C31207,Elvas,1207
1C31208,Fronteira,1208
1C31209,Gavião,1209
1C31210,Marvão,1210
1C31211,Monforte,1211
1C31212,Nisa,1212
1C31213,Ponte de Sor,1213
1C31214,Portalegre,1214
1C31215,Sousel,1215
1C40701,Alandroal,0701
1C40702,Arraiolos,0702
1C40703,Borba,0703
1C40704,Estremoz,0704
1C40705,Évora,0705
1C40706,Montemor-o-Novo,0706
1C40707,Mora,0707
1C40708,Mourão,0708
1C40709,Portel,0709
1C40710,Redondo,0710
1C40711,Reguengos de Monsaraz,0711
1C40712,Vendas Novas,0712
1C40713,Viana do Alentejo,0713
1C40714,Vila Viçosa,0714
1500801,Albufeira,0801
1500802,Alcoutim,0802
1500803,Aljezur,0803
1500804,Castro Marim,0804
1500805,Faro,0805
1500806,Lagoa,0806
1500807,Lagos,0807
1500808,Loulé,0808
1500809,Monchique,0809
1500810,Olhão,0810
1500811,Portimão,0811
1500812,São Brás de Alportel,0812
1500813,Silves,0813
1500814,Tavira,0814
1500815,Vila do Bispo,0815
1500816,Vila Real de Santo António,0816
2004301,Angra do Heroísmo,4301
2004501,Calheta (R.A.A.),4501
2004901,Corvo,4901
2004701,Horta,4701
2004201,Lagoa (R.A.A.),4201
2004801,Lajes das Flores,4801
2004601,Lajes do Pico,4601
2004602,Madalena,4602
2004202,Nordeste,4202
2004203,Ponta Delgada,4203
2004204,Povoação,4204
2004205,Ribeira Grande,4205
2004401,Santa Cruz da Graciosa,4401
2004802,Santa Cruz das Flores,4802
2004603,São Roque do Pico,4603
2004502,Velas,4502
2004302,Vila da Praia da Vitória,4302
2004101,Vila do Porto,4101
2004206,Vila Franca do Campo,4206
3003101,Calheta (R.A.M.),3101
3003102,Câmara de Lobos,3102
3003103,Funchal,3103
3003104,Machico,3104
3003105,Ponta do Sol,3105
3003106,Porto Moniz,3106
3003107,Ribeira Brava,3107
3003108,Santa Cruz,3108
3003109,Santana,3109
3003110,São Vicente,3110
3003201,Porto Santo,3201
